ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Stabling_Type,Memorized_Localisation,Update_Priority_Level,Automatic_Awakening,Energy_Monitoring_Inhibition_Area_ID,ATO_Margin_Inhibition_Area_ID,SSP_ID_List,Default_Stop,Coupling_Memorized_Localisation
2077,STL_LCM_141B,TR_S_373_LCM,535571,0,538771,0,Siding,true,None,false,0,0,SSP_LCM_141B_U;SSP_LCM_141B_D,true,false
2078,STL_LCM_141C,TR_S_373_LCM,538771,0,541971,0,Siding,true,None,false,0,0,SSP_LCM_141C_U;SSP_LCM_141C_D,true,false
2079,STL_LCM_141D,TR_S_373_LCM,541971,0,545221,0,Siding,true,None,false,0,0,SSP_LCM_141D_U;SSP_LCM_141D_D,true,false
2080,STL_LCM_150A,TR_S_375_LCM,526147,0,530147,0,Siding,true,None,false,0,0,SSP_LCM_150A_U;SSP_LCM_150A_D,true,false
2081,STL_LCM_150B,TR_S_375_LCM,530147,0,533347,0,Siding,true,None,false,0,0,SSP_LCM_150B_U;SSP_LCM_150B_D,true,false
2082,STL_LCM_150C,TR_S_375_LCM,533347,0,536547,0,Siding,true,None,false,0,0,SSP_LCM_150C_U;SSP_LCM_150C_D,true,false
2083,STL_LCM_150D,TR_S_375_LCM,536547,0,539797,0,Siding,true,None,false,0,0,SSP_LCM_150D_U;SSP_LCM_150D_D,true,false
2084,STL_LCM_161A,TR_S_347_LCM,526147,0,530347,0,Siding,true,None,false,0,0,SSP_LCM_161A_U;SSP_LCM_161A_D,true,false
2085,STL_LCM_161B,TR_S_347_LCM,530347,0,533547,0,Siding,true,None,false,0,0,SSP_LCM_161B_U;SSP_LCM_161B_D,true,false
2086,STL_LCM_161C,TR_S_347_LCM,533547,0,536747,0,Siding,true,None,false,0,0,SSP_LCM_161C_U;SSP_LCM_161C_D,true,false
2087,STL_LCM_161D,TR_S_347_LCM,536747,0,539997,0,Siding,true,None,false,0,0,SSP_LCM_161D_U;SSP_LCM_161D_D,true,false
2088,STL_LCM_113A,TR_S_317_LCM,525475,0,529675,0,Siding,true,None,false,0,0,SSP_LCM_113A_U;SSP_LCM_113A_D,true,false
2092,STL_LCM_170,TR_S_367_EOT_LCM,527431,0,540516,0,Siding,true,None,false,0,0,0,true,false
2096,STL_LCM_180A,TR_S_421_LCM,545114,0,549314,0,Siding,true,None,false,0,0,SSP_LCM_180A_U;SSP_LCM_180A_D,true,false
2097,STL_LCM_180B,TR_S_421_LCM,549314,0,552514,0,Siding,true,None,false,0,0,SSP_LCM_180B_U;SSP_LCM_180B_D,true,false
2098,STL_LCM_180C,TR_S_421_LCM,552514,0,555714,0,Siding,true,None,false,0,0,SSP_LCM_180C_U;SSP_LCM_180C_D,true,false
2099,STL_LCM_180D,TR_S_421_LCM,555714,0,559914,0,Siding,true,None,false,0,0,SSP_LCM_180D_U;SSP_LCM_180D_D,true,false
2100,STL_LCM_135A,TR_S_343_LCM,545591,0,548841,0,Siding,true,None,false,0,0,SSP_LCM_135A_U;SSP_LCM_135A_D,true,false
2101,STL_LCM_135B,TR_S_343_LCM,548841,0,552041,0,Siding,true,None,false,0,0,SSP_LCM_135B_U;SSP_LCM_135B_D,true,false
2102,STL_LCM_135C,TR_S_343_LCM,552041,0,555241,0,Siding,true,None,false,0,0,SSP_LCM_135C_U;SSP_LCM_135C_D,true,false
2103,STL_LCM_135D,TR_S_343_LCM,555241,0,559041,0,Siding,true,None,false,0,0,SSP_LCM_135D_U;SSP_LCM_135D_D,true,false
2104,STL_LCM_142A,TR_S_373_LCM,545221,0,548471,0,Siding,true,None,false,0,0,SSP_LCM_142A_U;SSP_LCM_142A_D,true,false
2105,STL_LCM_142B,TR_S_373_LCM,548471,0,551671,0,Siding,true,None,false,0,0,SSP_LCM_142B_U;SSP_LCM_142B_D,true,false
2106,STL_LCM_142C,TR_S_373_LCM,551671,0,554871,0,Siding,true,None,false,0,0,SSP_LCM_142C_U;SSP_LCM_142C_D,true,false
2107,STL_LCM_142D,TR_S_373_LCM,554871,0,559071,0,Siding,true,None,false,0,0,SSP_LCM_142D_U;SSP_LCM_142D_D,true,false
2108,STL_LCM_151A,TR_S_375_LCM,539797,0,543047,0,Siding,true,None,false,0,0,SSP_LCM_151A_U;SSP_LCM_151A_D,true,false
2109,STL_LCM_151B,TR_S_375_LCM,543047,0,546247,0,Siding,true,None,false,0,0,SSP_LCM_151B_U;SSP_LCM_151B_D,true,false
2110,STL_LCM_151C,TR_S_375_LCM,546247,0,549447,0,Siding,true,None,false,0,0,SSP_LCM_151C_U;SSP_LCM_151C_D,true,false
2111,STL_LCM_151D,TR_S_375_LCM,549447,0,552697,0,Siding,true,None,false,0,0,SSP_LCM_151D_U;SSP_LCM_151D_D,true,false
2112,STL_LCM_152A,TR_S_375_LCM,552697,0,555947,0,Siding,true,None,false,0,0,SSP_LCM_152A_U;SSP_LCM_152A_D,true,false
2113,STL_LCM_152B,TR_S_375_LCM,555947,0,559147,0,Siding,true,None,false,0,0,SSP_LCM_152B_U;SSP_LCM_152B_D,true,false
