ID,Name,ATC_Equipment_Type,SSID,Urbalis_Sector_ID,IP_Address_Blue,IP_Address_Red,MIB_IP_Address_Blue,MIB_IP_Address_Red,Subnet_Mask_Blue,Subnet_Mask_Red,Gateway_IP_Address_Blue,Gateway_IP_Address_Red,Technical_Room_ID,Train_ID
5187,CC_67,CC,67,US_SCMA,10.69.67.24,10.65.67.24,10.69.67.24,10.65.67.24,255.255.255.0,255.255.255.0,10.69.67.138,10.65.67.137,0,67
5188,CC_68,CC,68,US_SCMA,10.69.68.24,10.65.68.24,10.69.68.24,10.65.68.24,255.255.255.0,255.255.255.0,10.69.68.138,10.65.68.137,0,68
5189,CC_69,CC,69,US_SCMA,10.69.69.24,10.65.69.24,10.69.69.24,10.65.69.24,255.255.255.0,255.255.255.0,10.69.69.138,10.65.69.137,0,69
5190,CC_70,CC,70,US_SCMA,10.69.70.24,10.65.70.24,10.69.70.24,10.65.70.24,255.255.255.0,255.255.255.0,10.69.70.138,10.65.70.137,0,70
5191,CC_71,CC,71,US_SCMA,10.69.71.24,10.65.71.24,10.69.71.24,10.65.71.24,255.255.255.0,255.255.255.0,10.69.71.138,10.65.71.137,0,71
5192,CC_72,CC,72,US_SCMA,10.69.72.24,10.65.72.24,10.69.72.24,10.65.72.24,255.255.255.0,255.255.255.0,10.69.72.138,10.65.72.137,0,72
5193,CC_73,CC,73,US_SCMA,10.69.73.24,10.65.73.24,10.69.73.24,10.65.73.24,255.255.255.0,255.255.255.0,10.69.73.138,10.65.73.137,0,73
5194,CC_74,CC,74,US_SCMA,10.69.74.24,10.65.74.24,10.69.74.24,10.65.74.24,255.255.255.0,255.255.255.0,10.69.74.138,10.65.74.137,0,74
5195,CC_75,CC,75,US_SCMA,10.69.75.24,10.65.75.24,10.69.75.24,10.65.75.24,255.255.255.0,255.255.255.0,10.69.75.138,10.65.75.137,0,75
5196,CC_76,CC,76,US_SCMA,10.69.76.24,10.65.76.24,10.69.76.24,10.65.76.24,255.255.255.0,255.255.255.0,10.69.76.138,10.65.76.137,0,76
5197,CC_77,CC,77,US_SCMA,10.69.77.24,10.65.77.24,10.69.77.24,10.65.77.24,255.255.255.0,255.255.255.0,10.69.77.138,10.65.77.137,0,77
5198,CC_78,CC,78,US_SCMA,10.69.78.24,10.65.78.24,10.69.78.24,10.65.78.24,255.255.255.0,255.255.255.0,10.69.78.138,10.65.78.137,0,78
5199,CC_79,CC,79,US_SCMA,10.69.79.24,10.65.79.24,10.69.79.24,10.65.79.24,255.255.255.0,255.255.255.0,10.69.79.138,10.65.79.137,0,79
5200,CC_80,CC,80,US_SCMA,10.69.80.24,10.65.80.24,10.69.80.24,10.65.80.24,255.255.255.0,255.255.255.0,10.69.80.138,10.65.80.137,0,80
5201,CC_81,CC,81,US_SCMA,10.69.81.24,10.65.81.24,10.69.81.24,10.65.81.24,255.255.255.0,255.255.255.0,10.69.81.138,10.65.81.137,0,81
5202,CC_82,CC,82,US_SCMA,10.69.82.24,10.65.82.24,10.69.82.24,10.65.82.24,255.255.255.0,255.255.255.0,10.69.82.138,10.65.82.137,0,82
5203,CC_83,CC,83,US_SCMA,10.69.83.24,10.65.83.24,10.69.83.24,10.65.83.24,255.255.255.0,255.255.255.0,10.69.83.138,10.65.83.137,0,83
5204,CC_84,CC,84,US_SCMA,10.69.84.24,10.65.84.24,10.69.84.24,10.65.84.24,255.255.255.0,255.255.255.0,10.69.84.138,10.65.84.137,0,84
5205,CC_85,CC,85,US_SCMA,10.69.85.24,10.65.85.24,10.69.85.24,10.65.85.24,255.255.255.0,255.255.255.0,10.69.85.138,10.65.85.137,0,85
5206,CC_86,CC,86,US_SCMA,10.69.86.24,10.65.86.24,10.69.86.24,10.65.86.24,255.255.255.0,255.255.255.0,10.69.86.138,10.65.86.137,0,86
5207,CC_87,CC,87,US_SCMA,10.69.87.24,10.65.87.24,10.69.87.24,10.65.87.24,255.255.255.0,255.255.255.0,10.69.87.138,10.65.87.137,0,87
5208,CC_88,CC,88,US_SCMA,10.69.88.24,10.65.88.24,10.69.88.24,10.65.88.24,255.255.255.0,255.255.255.0,10.69.88.138,10.65.88.137,0,88
5209,CC_89,CC,89,US_SCMA,10.69.89.24,10.65.89.24,10.69.89.24,10.65.89.24,255.255.255.0,255.255.255.0,10.69.89.138,10.65.89.137,0,89
5210,CC_90,CC,90,US_SCMA,10.69.90.24,10.65.90.24,10.69.90.24,10.65.90.24,255.255.255.0,255.255.255.0,10.69.90.138,10.65.90.137,0,90
5211,CC_91,CC,91,US_SCMA,10.69.91.24,10.65.91.24,10.69.91.24,10.65.91.24,255.255.255.0,255.255.255.0,10.69.91.138,10.65.91.137,0,91
5212,CC_92,CC,92,US_SCMA,10.69.92.24,10.65.92.24,10.69.92.24,10.65.92.24,255.255.255.0,255.255.255.0,10.69.92.138,10.65.92.137,0,92
5213,CC_93,CC,93,US_SCMA,10.69.93.24,10.65.93.24,10.69.93.24,10.65.93.24,255.255.255.0,255.255.255.0,10.69.93.138,10.65.93.137,0,93
5214,CC_94,CC,94,US_SCMA,10.69.94.24,10.65.94.24,10.69.94.24,10.65.94.24,255.255.255.0,255.255.255.0,10.69.94.138,10.65.94.137,0,94
5215,CC_95,CC,95,US_SCMA,10.69.95.24,10.65.95.24,10.69.95.24,10.65.95.24,255.255.255.0,255.255.255.0,10.69.95.138,10.65.95.137,0,95
5216,CC_96,CC,96,US_SCMA,10.69.96.24,10.65.96.24,10.69.96.24,10.65.96.24,255.255.255.0,255.255.255.0,10.69.96.138,10.65.96.137,0,96
5217,CC_97,CC,97,US_SCMA,10.69.97.24,10.65.97.24,10.69.97.24,10.65.97.24,255.255.255.0,255.255.255.0,10.69.97.138,10.65.97.137,0,97
5218,CC_98,CC,98,US_SCMA,10.69.98.24,10.65.98.24,10.69.98.24,10.65.98.24,255.255.255.0,255.255.255.0,10.69.98.138,10.65.98.137,0,98
5219,CC_99,CC,99,US_SCMA,10.69.99.24,10.65.99.24,10.69.99.24,10.65.99.24,255.255.255.0,255.255.255.0,10.69.99.138,10.65.99.137,0,99
5220,CC_100,CC,100,US_SCMA,10.69.100.24,10.65.100.24,10.69.100.24,10.65.100.24,255.255.255.0,255.255.255.0,10.69.100.138,10.65.100.137,0,100
5221,CC_101,CC,101,US_SCMA,10.69.101.24,10.65.101.24,10.69.101.24,10.65.101.24,255.255.255.0,255.255.255.0,10.69.101.138,10.65.101.137,0,101
5222,CC_102,CC,102,US_SCMA,10.69.102.24,10.65.102.24,10.69.102.24,10.65.102.24,255.255.255.0,255.255.255.0,10.69.102.138,10.65.102.137,0,102
5223,CC_103,CC,103,US_SCMA,10.69.103.24,10.65.103.24,10.69.103.24,10.65.103.24,255.255.255.0,255.255.255.0,10.69.103.138,10.65.103.137,0,103
5224,CC_104,CC,104,US_SCMA,10.69.104.24,10.65.104.24,10.69.104.24,10.65.104.24,255.255.255.0,255.255.255.0,10.69.104.138,10.65.104.137,0,104
5225,CC_105,CC,105,US_SCMA,10.69.105.24,10.65.105.24,10.69.105.24,10.65.105.24,255.255.255.0,255.255.255.0,10.69.105.138,10.65.105.137,0,105
5226,CC_106,CC,106,US_SCMA,10.69.106.24,10.65.106.24,10.69.106.24,10.65.106.24,255.255.255.0,255.255.255.0,10.69.106.138,10.65.106.137,0,106
5227,CC_107,CC,107,US_SCMA,10.69.107.24,10.65.107.24,10.69.107.24,10.65.107.24,255.255.255.0,255.255.255.0,10.69.107.138,10.65.107.137,0,107
5229,CC_109,CC,109,US_SCMA,10.69.109.24,10.65.109.24,10.69.109.24,10.65.109.24,255.255.255.0,255.255.255.0,10.69.109.138,10.65.109.137,0,109
5231,CC_111,CC,111,US_SCMA,10.69.111.24,10.65.111.24,10.69.111.24,10.65.111.24,255.255.255.0,255.255.255.0,10.69.111.138,10.65.111.137,0,111
