ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Direction_After_Change_Of_Ends,Traffic_Direction_Self_Normalized
1005,COE_ND_130_U_M5,TR_S_EOT_3205_ND,624736,517,638036,-715,Up,false
1006,COE_ND_2_U_M5,TR_8_ND_ZD,624087,1217,646187,27,Up,false
1007,COE_ND_8_RD_6_U_M5,TR_8_ND_ZD,657990,-12,673849,1,Up,false
1008,COE_ND_8_RD_6_D_M5,TR_8_ND_ZD,657990,-12,673849,1,Down,false
1009,COE_ND_7A_LU_7_U_M5,TR_7A_ND_ZD,657990,-9,673841,-25,Up,false
1010,COE_ND_7A_LU_7_D_M5,TR_7A_ND_ZD,657990,-9,673841,-25,Down,false
1011,COE_NDP_7A_LU_1_U_M5,TR_7A_ND_ZD,714591,14,871847,-1,Up,false
1012,COE_NDP_7A_LU_1_D_M5,TR_7A_ND_ZD,714591,14,871847,-1,Down,false
1013,COE_NDP_8_RD_2_U_M5,TR_8_ND_ZD,711170,-32,847469,-26,Up,false
1014,COE_NDP_8_RD_2_D_M5,TR_8_ND_ZD,711170,-32,847469,-26,Down,false
1015,COE_CSN_8_LD_14_U_M5,TR_8_ND_ZD,997970,184,1013770,192,Up,false
1016,COE_CSN_8_LD_14_D_M5,TR_8_ND_ZD,997970,184,1013770,192,Down,false
1017,COE_CSN_7A_RU_15_U_M5,TR_7A_ND_ZD,997933,175,1013733,134,Up,false
1018,COE_CSN_7A_RU_15_D_M5,TR_7A_ND_ZD,997933,175,1013733,134,Down,false
1019,COE_RKN_7A_LU_1_U_M5,TR_7A_ND_ZD,1107500,189,1126060,323,Up,false
1020,COE_RKN_7A_LU_1_D_M5,TR_7A_ND_ZD,1107500,189,1126060,323,Down,false
1021,COE_RKN_8_RD_2_U_M5,TR_8_ND_ZD,1107500,305,1126060,355,Up,false
1022,COE_RKN_8_RD_2_D_M5,TR_8_ND_ZD,1107500,305,1126060,355,Down,false
1023,COE_VZG_7A_LU_5_U_M5,TR_7A_ND_ZD,1223750,-82,1239110,-14,Up,false
1024,COE_VZG_7A_LU_5_D_M5,TR_7A_ND_ZD,1223750,-82,1239110,-14,Down,false
1025,COE_VZG_8_RD_6_U_M5,TR_8_ND_ZD,1223750,-483,1239110,-430,Up,false
1026,COE_VZG_8_RD_6_D_M5,TR_8_ND_ZD,1223750,-483,1239110,-430,Down,false
1027,COE_DPP_7A_LU_9_U_M5,TR_7A_ND_ZD,1297790,127,1316010,75,Up,false
1028,COE_DPP_7A_LU_9_D_M5,TR_7A_ND_ZD,1297790,127,1316010,75,Down,false
1029,COE_DPP_8_LD_10_U_M5,TR_8_ND_ZD,1299750,-3049,1316010,-1224,Up,false
1030,COE_DPP_8_LD_10_D_M5,TR_8_ND_ZD,1299750,-3049,1316010,-1224,Down,false
