ID,Name,CBI_ID,Master_Technical_Room_ID,Slave_Technical_Room_ID_List
1,DNS_CBTC_ZUB_IXL_1,IXL_1,TCR_LCM_M_0,TCR_EZD_S_3B_R;TCR_HDS_S_3B_R;TCR_VLN_S_3B_R;TCR_ITW_S_3B_R;TCR_SET_S_4A_R
2,DNS_CBTC_ZUB_IXL_2,IXL_2,TCR_CS_M_1A_L,TCR_WPP_M_1A_R;TCR_SVT_M_1A_L;TCR_BLW_M_1A_L;TCR_GN_M_1A_L;TCR_DMZ_M_5D_L;TCR_GPP_M_5E_L;TCR_OAS_M_4A_L;TCR_CS_M_1A_L;TCR_LCM_M_1;TCR_LCM_M_2
