ID,Name,Depot_ID,Siding_ID,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value
1001,WS_2_ND_M5,0,0,TR_8_ND_ZD,624287,1017,646187,27
2001,WS_170_LCM,0,SID_LCM_1,TR_S_367_EOT_LCM,527431,0,540516,0
