ID,Name,Track_ID,Platform_Type,Stabling_Location_ID,PSD_ID,ESP_ID_List,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Platform_Length,Max_Alignment_Distance,C_Dock_Prec_Dist_Max,Skip_Speed,C_Late_Change_Distance,SSP_ID_List,Secondary_SSP_ID_List,Pre_Platform_SSP_ID_List,Default_Stop
18,PF_ITW_4B_RD,TR_4B_ASW_ITW,Single Right Docking,0,0,0,1865004,0,1877893,0,12889,0,0,30,80485,SSP_ITW_4_U_1;SSP_ITW_4_U_2;SSP_ITW_4_U_3;SSP_ITW_4_U_4;SSP_ITW_4_D_1;SSP_ITW_4_D_2;SSP_ITW_4_D_3;SSP_ITW_4_D_4,0,SSP_PP_ITW_4A_U;SSP_PP_ITW_4C_D,true
19,PF_ZD_4A_RD,TR_4A_SLW_ZD,Single Right Docking,0,0,0,916500,0,929036,0,12536,0,0,30,52579,SSP_ZD_16_U;SSP_ZD_16_D_1;SSP_ZD_14_D_2;SSP_ZD_12_D_3;SSP_ZD_10_D_4,0,SSP_PP_ZD_16_U;SSP_PP_ZD_10_D,true
20,PF_ZD_3A_LU,TR_3A_SLW_ZD,Single Left Docking,0,0,0,917332,0,929888,0,12556,0,0,30,53323,SSP_ZD_17_U_234;SSP_ZD_15_D_2;SSP_ZD_13_D_3;SSP_ZD_11_D_4;SSP_ZD_17_U_1,0,SSP_PP_ZD_17_U;SSP_PP_ZD_11_D,true
21,PF_RAI_4A_RD,TR_4A_SLW_ZD,Single Right Docking,0,0,0,811741,0,824228,0,12487,0,0,30,78825,SSP_RAI_2A_U_1;SSP_RAI_2A_U_2;SSP_RAI_2A_U_3;SSP_RAI_2A_U_4;SSP_RAI_2A_D,0,SSP_PP_ZD_2A_U;SSP_PP_ZD_2A_D,true
22,PF_RAI_3A_LU,TR_3A_SLW_ZD,Single Left Docking,0,0,0,810687,0,823659,0,12972,0,0,30,78288,SSP_RAI_1A_U_1;SSP_RAI_1A_U_2;SSP_RAI_1A_U_3;SSP_RAI_1A_U_4;SSP_RAI_1A_D,0,SSP_PP_ZD_1A_U;SSP_PP_ZD_1A_D,true
23,PF_OAS_4A_LD,TR_4A_SLW_ZD,Single Left Docking,0,0,0,584170,0,597210,0,13040,0,0,30,52094,SSP_OAS_6_U_1;SSP_OAS_6_U_2;SSP_OAS_6_U_3;SSP_OAS_6_U_4;SSP_OAS_6_D_1;SSP_OAS_6_D_2;SSP_OAS_6_D_3;SSP_OAS_6_D_4,0,SSP_PP_OAS_6_U;SSP_PP_OAS_6_D,true
24,PF_OAS_3A_RU,TR_3A_SLW_ZD,Single Right Docking,0,0,0,583664,0,596595,0,12931,0,0,30,51969,SSP_OAS_3_U_1;SSP_OAS_3_U_2;SSP_OAS_3_U_3;SSP_OAS_3_U_4;SSP_OAS_3_D_1;SSP_OAS_3_D_2;SSP_OAS_3_D_3;SSP_OAS_3_D_4,0,SSP_PP_OAS_7_U;SSP_PP_OAS_3_D,true
25,PF_ZD_12_LD,TR_12_ZD_ZD,Single Left Docking,0,0,0,922190,0,928815,0,6625,0,0,30,48847,SSP_ZD_111B_U_12;SSP_ZD_111A_D_2;SSP_ZD_111B_D_1,0,SSP_PP_ZD_111A_U;SSP_PP_ZD_111B_D,true
26,PF_ZD_7A_RU,TR_7A_ND_ZD,Single Right Docking,0,0,0,1583800,650,1596100,647,12297,0,0,30,29034,SSP_ZD_55_U_M5M6_4;SSP_ZD_55_D_M5M6_4,0,SSP_PP_ZD_55_U_M5M6_4;SSP_PP_ZD_55_D_M5M6_4,true
27,PF_ND_7A_LU,TR_7A_ND_ZD,Single Left Docking,0,0,0,659400,0,672431,7,13038,0,0,30,39468,SSP_ND_7_U_M5M6_4;SSP_ND_7_D_M5M6_4,0,SSP_PP_ND_7_U_M5M6_4;SSP_PP_ND_7_D_M5M6_4,true
28,PF_ND_8_RD,TR_8_ND_ZD,Single Right Docking,0,0,ESP_ND_8_RD,659400,0,672439,-16,13023,0,0,30,39490,SSP_ND_6_U_M5M6_4;SSP_ND_6_D_M5M6_4,0,SSP_PP_ND_6_U_M5M6_4;SSP_PP_ND_6_D_M5M6_4,true
29,PF_NDP_7A_LU,TR_7A_ND_ZD,Single Left Docking,0,0,0,834862,14,846866,11,12001,0,0,30,40022,SSP_NDP_1_U_M5M6_4;SSP_NDP_1_D_M5M6_4,0,SSP_PP_CSN_1_U_M5M6_4;SSP_PP_CSN_1_D_M5M6_4,true
30,PF_NDP_8_RD,TR_8_ND_ZD,Single Right Docking,0,0,0,834724,-46,847069,-45,12346,0,0,30,39844,SSP_NDP_2_U_M5M6_4;SSP_NDP_2_D_M5M6_4,0,SSP_PP_CSN_2_U_M5M6_4;SSP_PP_CSN_2_D_M5M6_4,true
33,PF_CSN_7A_RU,TR_7A_ND_ZD,Single Right Docking,0,0,0,998587,119,1013078,143,14515,0,0,30,38753,SSP_CSN_15_U_M5M6_4;SSP_CSN_15_D_M5M6_4,0,SSP_PP_CSN_15_U_M5M6_4;SSP_PP_CSN_15_D_M5M6_4,true
34,PF_CSN_8_LD,TR_8_ND_ZD,Single Left Docking,0,0,0,998639,157,1013101,217,14522,0,0,30,38789,SSP_CSN_14_U_M5M6_4;SSP_CSN_14_D_M5M6_4,0,SSP_PP_CSN_14_U_M5M6_4;SSP_PP_CSN_14_D_M5M6_4,true
35,PF_RKN_7A_LU,TR_7A_ND_ZD,Single Left Docking,0,0,0,1110516,37,1122777,674,12898,0,0,30,29084,SSP_RKN_1_U_M5M6_4;SSP_RKN_1_D_M5M6_4,0,SSP_PP_VZG_1_U_M5M6_4;SSP_PP_VZG_1_D_M5M6_4,true
36,PF_RKN_8_RD,TR_8_ND_ZD,Single Right Docking,0,0,0,1110074,-21,1122336,684,12967,0,0,30,29032,SSP_RKN_2_U_M5M6_4;SSP_RKN_2_D_M5M6_4,0,SSP_PP_VZG_2_U_M5M6_4;SSP_PP_VZG_2_D_M5M6_4,true
37,PF_VZG_7A_LU,TR_7A_ND_ZD,Single Left Docking,0,0,0,1223800,71,1236200,555,12884,0,0,30,29303,SSP_VZG_5_U_M5M6_4;SSP_VZG_5_D_M5M6_4,0,SSP_PP_VZG_5_U_M5M6_4;SSP_PP_VZG_5_D_M5M6_4,true
38,PF_VZG_8_RD,TR_8_ND_ZD,Single Right Docking,0,0,0,1223800,-399,1236200,-67,12732,0,0,30,28921,SSP_VZG_6_U_M5M6_4;SSP_VZG_6_D_M5M6_4,0,SSP_PP_VZG_6_U_M5M6_4;SSP_PP_VZG_6_D_M5M6_4,true
39,PF_DPP_7A_LU,TR_7A_ND_ZD,Single Left Docking,0,0,0,1300400,114,1313400,79,12965,0,0,30,29021,SSP_DPP_9_U_M5M6_4;SSP_DPP_9_D_M5M6_4,0,SSP_PP_VZG_9_U_M5M6_4;SSP_PP_VZG_9_D_M5M6_4,true
40,PF_DPP_8_LD,TR_8_ND_ZD,Single Left Docking,0,0,0,1300400,-1125,1313400,-190,13935,0,0,30,28085,SSP_DPP_10_U_M5M6_4;SSP_DPP_10_D_M5M6_4,0,SSP_PP_VZG_10_U_M5M6_4;SSP_PP_VZG_10_D_M5M6_4,true
41,PF_EPP_7A_RU,TR_7A_ND_ZD,Single Right Docking,0,0,0,1436900,1428,1451200,820,13692,0,0,30,28699,SSP_EPP_45_U_M5M6_4;SSP_EPP_45_D_M5M6_4,0,SSP_PP_ZD_45_U_M5M6_4;SSP_PP_ZD_45_D_M5M6_4,true
42,PF_EPP_8_LD,TR_8_ND_ZD,Single Left Docking,0,0,0,1436900,97,1451200,-510,13693,0,0,30,28658,SSP_EPP_34_U_M5M6_4;SSP_EPP_34_D_M5M6_4,0,SSP_PP_ZD_34_U_M5M6_4;SSP_PP_ZD_34_D_M5M6_4,true
