ID,Name,Basic_Multitrack_Zone_ID_List,Conditional_SSP_ID_List
2001,NSZ_2_LCM,BMZ_BN_4_26,SSP_OAS_6_D_1;SSP_OAS_6_D_2;SSP_SLW_24_U;SSP_OAS_6_D_3;SSP_OAS_6_D_4;SSP_SLW_15_U
2002,NSZ_1_LCM,BMZ_BN_3_27,SSP_SLW_15_U;SSP_OAS_3_D_1;SSP_OAS_3_D_2;SSP_OAS_3_D_3;SSP_OAS_3_D_4;SSP_SLW_24_U
2003,NSZ_13_LCM,BMZ_BZ_6_10,SSP_OAS_15_D_1;SSP_OAS_15_D_2;SSP_OAS_15_D_3;SSP_OAS_15_D_4;SSP_MDW_8_D_1;SSP_MDW_8_D_2;SSP_MDW_8_D_3;SSP_MDW_8_D_4;SSP_MDW_16D_D_1;SSP_MDW_16C_D_2;SSP_MDW_16B_D_3;SSP_MDW_16A_D_4
2004,NSZ_10_LCM,BMZ_BZ_5_13,SSP_OAS_6_D_1;SSP_OAS_6_D_2;SSP_OAS_6_D_3;SSP_OAS_6_D_4;SSP_MDW_7_D_1;SSP_MDW_7_D_2;SSP_MDW_7_D_3;SSP_MDW_7_D_4;SSP_MDW_15D_D_1;SSP_MDW_15C_D_2;SSP_MDW_15B_D_3;SSP_MDW_15A_D_4
