ID,Name,ATS_Central_Server_Area_ID,ATS_Local_Server_Area_ID,Secondary_Detection_Device_ID_List
1,AMA_1_ZD,SIA_CATS,SIA_LATS_1,SDD_OAS_15;SDD_OAS_3;SDD_OAS_9;SDD_OAS_11;SDD_OAS_6;SDD_OAS_8
2,AMA_1_OAS,SIA_CATS,SIA_LATS_2,SDD_ZD_1;SDD_ZD_1A;SDD_ZD_2;SDD_ZD_2A
