ID,Name,Function,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value
2027,NUF_WPP_1A_RU,Train_Door_Observation_System,TR_1A_CS_GN,201349,0,236449,0
2028,NUF_WPP_2A_LD,Train_Door_Observation_System,TR_2A_CS_GN,201321,0,236421,0
2029,NUF_WBS_1A_LU,Train_Door_Observation_System,TR_1A_CS_GN,285965,0,321065,0
2030,NUF_WBS_2A_RD,Train_Door_Observation_System,TR_2A_CS_GN,285903,0,321003,0
2031,NUF_ASA_1A_RU,Train_Door_Observation_System,TR_1A_CS_GN,380469,0,415569,0
2032,NUF_ASA_2A_LD,Train_Door_Observation_System,TR_2A_CS_GN,380456,0,415556,0
2033,NUF_SLW_1A_LU,Train_Door_Observation_System,TR_1A_CS_GN,446714,0,481814,0
2034,NUF_SLW_2A_RD,Train_Door_Observation_System,TR_2A_CS_GN,446496,0,481596,0
2035,NUF_SLW_3A_RU,Train_Door_Observation_System,TR_3A_SLW_ZD,450159,0,485259,0
2036,NUF_SLW_4A_LD,Train_Door_Observation_System,TR_4A_SLW_ZD,450051,0,485151,0
2037,NUF_MDW_1A_LU,Train_Door_Observation_System,TR_1A_CS_GN,582835,0,617935,0
2038,NUF_MDW_2A_RD,Train_Door_Observation_System,TR_2A_CS_GN,581934,0,617034,0
2039,NUF_DVD_1A_RU,Train_Door_Observation_System,TR_1A_CS_GN,670391,0,705491,0
2040,NUF_DVD_2A_LD,Train_Door_Observation_System,TR_2A_CS_GN,669250,0,704350,0
2041,NUF_SVT_1A_LU,Train_Door_Observation_System,TR_1A_CS_GN,734169,0,769269,0
2042,NUF_SVT_2A_RD,Train_Door_Observation_System,TR_2A_CS_GN,733081,0,768181,0
2043,NUF_BMR_1A_LU,Train_Door_Observation_System,TR_1A_CS_GN,824966,0,860066,0
2044,NUF_BMR_2A_RD,Train_Door_Observation_System,TR_2A_CS_GN,824028,0,859128,0
2045,NUF_BLW_1A_LU,Train_Door_Observation_System,TR_1A_CS_GN,882890,0,917990,0
2046,NUF_BLW_2A_RD,Train_Door_Observation_System,TR_2A_CS_GN,881783,0,916883,0
2047,NUF_HLD_1A_LU,Train_Door_Observation_System,TR_1A_CS_GN,991803,0,1026903,0
2048,NUF_HLD_2A_RD,Train_Door_Observation_System,TR_2A_CS_GN,990710,0,1025810,0
2049,NUF_RGB_1A_LU,Train_Door_Observation_System,TR_1A_CS_GN,1113927,0,1149027,0
2050,NUF_RGB_2A_RD,Train_Door_Observation_System,TR_2A_CS_GN,1112331,0,1147431,0
2051,NUF_GN_1A_LU,Train_Door_Observation_System,TR_1A_CS_GN,1215760,0,1250860,0
2052,NUF_GN_2A_RD,Train_Door_Observation_System,TR_2A_CS_GN,1214342,0,1249442,0
