ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Train_Formation_Characteristics_ID_List,Direction_After_Change_Of_Direction,SSP_ID_List,Change_Of_Ends_Zone_ID_List,Default_Stop,Traffic_Reversal_Commands
2153,COD_ZD_142C_B,TR_S_1921_ZD,1005458,0,1008658,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_142C_U;SSP_ZD_142C_D,COE_ZD_142A_142D_D;COE_ZD_142A_142D_U,false,None
2154,COD_ZD_142D_B,TR_S_1921_ZD,1008658,0,1012858,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_142D_U;SSP_ZD_142D_D,COE_ZD_142A_142D_D;COE_ZD_142A_142D_U,false,Down
2155,COD_ZD_151A_B,TR_S_1799_EOT_ZD,930865,0,934503,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_151A_U;SSP_ZD_151A_D,COE_ZD_151A_151E_D;COE_ZD_151A_151E_U,false,Up
2156,COD_ZD_151B_B,TR_S_1799_EOT_ZD,934503,0,937703,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_151B_U;SSP_ZD_151B_D,COE_ZD_151A_151E_D;COE_ZD_151A_151E_U,false,None
2157,COD_ZD_151C_B,TR_S_1799_EOT_ZD,937703,0,940903,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_151C_U;SSP_ZD_151C_D,COE_ZD_151A_151E_D;COE_ZD_151A_151E_U,false,None
2158,COD_ZD_151D_B,TR_S_1799_EOT_ZD,940903,0,944103,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_151D_U;SSP_ZD_151D_D,COE_ZD_151A_151E_D;COE_ZD_151A_151E_U,false,None
2159,COD_ZD_151E_B,TR_S_1799_EOT_ZD,944103,0,947353,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_151E_U;SSP_ZD_151E_D,COE_ZD_151A_151E_D;COE_ZD_151A_151E_U,false,Down
2160,COD_ZD_152A_B,TR_S_1799_EOT_ZD,947353,0,950603,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_152A_U;SSP_ZD_152A_D,COE_ZD_152A_152D_D;COE_ZD_152A_152D_U,false,Up
2161,COD_ZD_152B_B,TR_S_1799_EOT_ZD,950603,0,953803,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_152B_U;SSP_ZD_152B_D,COE_ZD_152A_152D_D;COE_ZD_152A_152D_U,false,None
2162,COD_ZD_152C_B,TR_S_1799_EOT_ZD,953803,0,957003,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_152C_U;SSP_ZD_152C_D,COE_ZD_152A_152D_D;COE_ZD_152A_152D_U,false,None
2163,COD_ZD_152D_B,TR_S_1799_EOT_ZD,957003,0,961203,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_152D_U;SSP_ZD_152D_D,COE_ZD_152A_152D_D;COE_ZD_152A_152D_U,false,Down
2164,COD_ZD_160A_B,TR_S_1915_ZD,931324,0,935524,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_160A_U;SSP_ZD_160A_D,COE_ZD_160A_160E_D;COE_ZD_160A_160E_U,false,Up
2165,COD_ZD_160B_B,TR_S_1915_ZD,935524,0,938724,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_160B_U;SSP_ZD_160B_D,COE_ZD_160A_160E_D;COE_ZD_160A_160E_U,false,None
2166,COD_ZD_160C_B,TR_S_1915_ZD,938724,0,941924,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_160C_U;SSP_ZD_160C_D,COE_ZD_160A_160E_D;COE_ZD_160A_160E_U,false,None
2167,COD_ZD_160D_B,TR_S_1915_ZD,941924,0,945124,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_160D_U;SSP_ZD_160D_D,COE_ZD_160A_160E_D;COE_ZD_160A_160E_U,false,None
2168,COD_ZD_160E_B,TR_S_1915_ZD,945124,0,948374,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_160E_U;SSP_ZD_160E_D,COE_ZD_160A_160E_D;COE_ZD_160A_160E_U,false,Down
2169,COD_ZD_161A_B,TR_S_1915_ZD,948374,0,951624,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_161A_U;SSP_ZD_161A_D,COE_ZD_161A_161D_D;COE_ZD_161A_161D_U,false,Up
2170,COD_ZD_161B_B,TR_S_1915_ZD,951624,0,954824,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_161B_U;SSP_ZD_161B_D,COE_ZD_161A_161D_D;COE_ZD_161A_161D_U,false,None
2171,COD_ZD_161C_B,TR_S_1915_ZD,954824,0,958024,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_161C_U;SSP_ZD_161C_D,COE_ZD_161A_161D_D;COE_ZD_161A_161D_U,false,None
2172,COD_ZD_161D_B,TR_S_1915_ZD,958024,0,962224,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_161D_U;SSP_ZD_161D_D,COE_ZD_161A_161D_D;COE_ZD_161A_161D_U,false,Down
2173,COD_ZD_102A_B,TR_S_1831A_ZD,861309,10,866505,17,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_102A_U;SSP_ZD_102A_D,COE_ZD_102A_102D_D;COE_ZD_102A_102D_U,false,Up
2174,COD_ZD_102B_B,TR_S_1831A_ZD,866505,17,869743,-10,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_102B_U;SSP_ZD_102B_D,COE_ZD_102A_102D_D;COE_ZD_102A_102D_U,false,None
2175,COD_ZD_102C_B,TR_S_1831A_ZD,869743,-10,872965,-7,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_102C_U;SSP_ZD_102C_D,COE_ZD_102A_102D_D;COE_ZD_102A_102D_U,false,None
2176,COD_ZD_102D_B,TR_S_1831A_ZD,872965,-7,876760,-1,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_ZD_102D_U;SSP_ZD_102D_D,COE_ZD_102A_102D_D;COE_ZD_102A_102D_U,false,Down
2181,COD_ZD_154A_D,TR_S_1799_EOT_ZD,972241,0,977242,0,TRFC_S1S2_1;TRFC_S3M4_1,Down,SSP_ZD_154A_U,COE_ZD_154A_EOT_D,false,None
2185,COD_SLW_2_U,TR_2A_CS_GN,313057,0,380032,-1,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Up,SSP_SLW_2_D,COE_SLW_2_U,false,None
2186,COD_SLW_1_U,TR_1A_CS_GN,313107,-33,380040,-66,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Up,SSP_SLW_1_D,COE_SLW_1_U,false,None
2187,COD_LCM_121A_B,TR_S_313_EOT_LCM,487338,0,491538,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_121A_U;SSP_LCM_121A_D,COE_LCM_14_121D_U;COE_LCM_14_121D_D,false,Up
2188,COD_LCM_121B_B,TR_S_313_EOT_LCM,491538,0,494738,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_121B_U;SSP_LCM_121B_D,COE_LCM_14_121D_U;COE_LCM_14_121D_D,false,None
2189,COD_LCM_121C_B,TR_S_313_EOT_LCM,494738,0,497938,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_121C_U;SSP_LCM_121C_D,COE_LCM_14_121D_U;COE_LCM_14_121D_D,false,None
2190,COD_LCM_121D_B,TR_S_313_EOT_LCM,497938,0,502138,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_121D_U;SSP_LCM_121D_D,COE_LCM_14_121D_U;COE_LCM_14_121D_D,false,Down
2191,COD_LCM_123A_B,TR_S_313_EOT_LCM,508883,0,513083,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_123A_U;SSP_LCM_123A_D,COE_LCM_123A_123D_U;COE_LCM_123A_123D_D,false,Up
2192,COD_LCM_123B_B,TR_S_313_EOT_LCM,513083,0,516283,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_123B_U;SSP_LCM_123B_D,COE_LCM_123A_123D_U;COE_LCM_123A_123D_D,false,None
2193,COD_LCM_123C_B,TR_S_313_EOT_LCM,516283,0,519483,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_123C_U;SSP_LCM_123C_D,COE_LCM_123A_123D_U;COE_LCM_123A_123D_D,false,None
2194,COD_LCM_123D_B,TR_S_313_EOT_LCM,519483,0,523683,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_123D_U;SSP_LCM_123D_D,COE_LCM_123A_123D_U;COE_LCM_123A_123D_D,false,Down
2195,COD_LCM_132A_B,TR_S_343_LCM,511901,0,515251,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_132A_U;SSP_LCM_132A_D,COE_LCM_132A_132D_U;COE_LCM_132A_132D_D,false,Up
2196,COD_LCM_132B_B,TR_S_343_LCM,515251,0,518451,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_132B_U;SSP_LCM_132B_D,COE_LCM_132A_132D_U;COE_LCM_132A_132D_D,false,None
2197,COD_LCM_132C_B,TR_S_343_LCM,518451,0,521651,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_132C_U;SSP_LCM_132C_D,COE_LCM_132A_132D_U;COE_LCM_132A_132D_D,false,None
2198,COD_LCM_132D_B,TR_S_343_LCM,521651,0,525001,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_132D_U;SSP_LCM_132D_D,COE_LCM_132A_132D_U;COE_LCM_132A_132D_D,false,Down
2199,COD_LCM_134A_B,TR_S_343_LCM,532141,0,535941,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_134A_U;SSP_LCM_134A_D,COE_LCM_134A_134D_U;COE_LCM_134A_134D_D,false,Up
2200,COD_LCM_134B_B,TR_S_343_LCM,535941,0,539141,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_134B_U;SSP_LCM_134B_D,COE_LCM_134A_134D_U;COE_LCM_134A_134D_D,false,None
2201,COD_LCM_134C_B,TR_S_343_LCM,539141,0,542341,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_134C_U;SSP_LCM_134C_D,COE_LCM_134A_134D_U;COE_LCM_134A_134D_D,false,None
2202,COD_LCM_134D_B,TR_S_343_LCM,542341,0,545591,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_134D_U;SSP_LCM_134D_D,COE_LCM_134A_134D_U;COE_LCM_134A_134D_D,false,Down
