ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Direction,Ignored_Signal_ID,Train_Formation_Characteristics_ID_List,EMI_Limit_Speed_List,Closed_track_End_Speed
2017,EMI_13A_13E_GN,TR_1A_CS_GN,1258881,67,1276896,-8,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2018,EMI_100A_100E_GN,TR_S_671_EOT_GN,1258963,16,1276913,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2019,EMI_125A_125D_LCM,TR_S_313_EOT_LCM,532919,0,546869,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2020,EMI_170_LCM,TR_S_367_EOT_LCM,527431,0,540516,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2021,EMI_100A_101_SLW,TR_S_EOT_309_SLW,447076,-3,455367,-46,Down,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2022,EMI_120A_120D_DMZ,TR_S_531_EOT_DMZ,292606,19,328864,247,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2023,EMI_130A_130D_GPP,TR_S_585_EOT_GPP,1035809,49,1049289,-154,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2024,EMI_120A_120D_GPP,TR_S_581_EOT_GPP,1035809,112,1049251,-110,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2025,EMI_20A_20D_GPP,TR_6E_DMZ_GPP,1033253,12,1049495,-39,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2026,EMI_110A_110D_GPP,TR_S_583_EOT_GPP,1034092,-41,1048363,-42,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2027,EMI_13A_13D_GPP,TR_5E_DMZ_GPP,1034092,27,1048335,1,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
2028,EMI_100A_100D_GPP,TR_S_579_EOT_GPP,1031595,-1,1048414,0,Up,0,TRFC_S3M4_1;TRFC_S1S2_1;TRFC_S3M4_4;TRFC_S1S2_4;TRFC_M5M6;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,5000,14
