ID,Name,SSID,Urbalis_Sector_ID,CBI_Area_ID,Synchro_NTP_SDM_Bypass,CBI_Monitoring_ATS,T_ATS_Validity_Period,T_ATS_Validity_Time,Route_To_Set_ID_List,Cycle_To_Set_ID_List,Route_To_Release_ID_List,Cycle_To_Release_ID_List,Remote_IO_ID_List,CBI_Equipment_ID_List,IP_Address_Blue,IP_Address_Red,MIB_IP_Address_Blue,MIB_IP_Address_Red,Subnet_Mask_Blue,Subnet_Mask_Red,Gateway_IP_Address_Blue,Gateway_IP_Address_Red,Technical_Room_ID,Switch_Over_Hours,Switch_Over_Minutes
15361,IXL_1,1,US_SCMA,SIA_IXL_1,false,false,0,0,0,0,0,0,RIO_CBI_ITW_1;RIO_CBI_ITW_2;RIO_CBI_VLN_1;RIO_CBI_HDS_1;RIO_CBI_ZD_1;RIO_CBI_ZD_2;RIO_CBI_ZD_3;RIO_CBI_VZG_1;RIO_CBI_CSN_1;RIO_CBI_ND_1;RIO_CBI_ZD_4;RIO_CBI_LCM_1,CLC_N_IXL_1;CLC_R_IXL_1,10.1.13.21,10.2.13.21,10.1.13.27,10.2.13.27,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_ITW_S_3B_R,3,0
15362,IXL_2,2,US_SCMA,SIA_IXL_2,false,false,0,0,0,0,0,0,RIO_CBI_OAS_1;RIO_CBI_CS_1;RIO_CBI_WPP_1;RIO_CBI_SLW_1;RIO_CBI_LCM_2;RIO_CBI_LCM_3;RIO_CBI_MDW_1;RIO_CBI_SVT_1;RIO_CBI_GN_1;RIO_CBI_BLW_1;RIO_CBI_DMZ_1;RIO_CBI_GPP_1,CLC_N_IXL_2;CLC_R_IXL_2,10.1.13.22,10.2.13.22,10.1.13.28,10.2.13.28,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254,TCR_CSN_M_8_L,3,0
