ID,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Curve_Radius,Real_Grade
103,TR_3B_ASW_ITW,1274906,0,1,-14
104,TR_3B_ASW_ITW,1277406,0,1,-22
105,TR_3B_ASW_ITW,1279906,0,1,-18
106,TR_3B_ASW_ITW,1282406,0,1,-14
107,TR_3B_ASW_ITW,1284906,0,1,-11
108,TR_3B_ASW_ITW,1288465,0,1,-10
109,TR_3B_ASW_ITW,1290965,0,1,-13
110,TR_3B_ASW_ITW,1293465,0,1,-15
111,TR_3B_ASW_ITW,1295965,0,1,-18
112,TR_3B_ASW_ITW,1298465,0,1,-18
113,TR_3B_ASW_ITW,1299757,0,1,-20
114,TR_3B_ASW_ITW,1302257,0,1,-19
115,TR_3B_ASW_ITW,1304757,0,1,-19
116,TR_3B_ASW_ITW,1307257,0,1,-19
117,TR_3B_ASW_ITW,1309757,0,1,-19
118,TR_3B_ASW_ITW,1312257,0,1,-18
119,TR_3B_ASW_ITW,1314757,0,1,-14
120,TR_3B_ASW_ITW,1317257,0,1,-9
121,TR_3B_ASW_ITW,1319757,0,1,-9
122,TR_3B_ASW_ITW,1322257,0,1,-12
123,TR_3B_ASW_ITW,1324757,0,1,-15
124,TR_3B_ASW_ITW,1327257,0,1,-19
125,TR_3B_ASW_ITW,1329757,0,1,-14
126,TR_3B_ASW_ITW,1332257,0,1,-10
127,TR_3B_ASW_ITW,1334757,0,1,-4
128,TR_3B_ASW_ITW,1337257,0,1,-5
129,TR_3B_ASW_ITW,1339757,0,1,-8
130,TR_3B_ASW_ITW,1342257,0,1,-12
131,TR_3B_ASW_ITW,1344757,0,1,-17
132,TR_3B_ASW_ITW,1347257,0,1,-19
133,TR_3B_ASW_ITW,1349757,0,1,-22
134,TR_3B_ASW_ITW,1352257,0,1,-20
135,TR_3B_ASW_ITW,1354757,0,1,-21
136,TR_3B_ASW_ITW,1357257,0,1,-19
137,TR_3B_ASW_ITW,1359757,0,1,-13
138,TR_3B_ASW_ITW,1362257,0,1,-6
139,TR_3B_ASW_ITW,1364757,0,1,0
140,TR_3B_ASW_ITW,1367257,0,1,3
141,TR_3B_ASW_ITW,1369757,0,1,3
142,TR_3B_ASW_ITW,1372257,0,1,-4
143,TR_3B_ASW_ITW,1374757,0,1,-10
144,TR_3B_ASW_ITW,1377257,0,1,-17
145,TR_3B_ASW_ITW,1379757,0,1,-19
146,TR_3B_ASW_ITW,1382257,0,1,-19
147,TR_3B_ASW_ITW,1384757,0,1,-18
148,TR_3B_ASW_ITW,1387257,0,1,-16
149,TR_3B_ASW_ITW,1389757,0,1,-14
150,TR_3B_ASW_ITW,1392257,0,1,-12
151,TR_3B_ASW_ITW,1394757,0,1,-11
152,TR_3B_ASW_ITW,1397257,0,1,-9
153,TR_3B_ASW_ITW,1399757,0,1,-7
154,TR_3B_ASW_ITW,1402257,0,1,-8
155,TR_3B_ASW_ITW,1404757,0,1,-11
156,TR_3B_ASW_ITW,1407257,0,1,-11
157,TR_3B_ASW_ITW,1409757,0,1,-9
158,TR_3B_ASW_ITW,1412257,0,1,-18
159,TR_3B_ASW_ITW,1414629,0,1,-19
160,TR_3B_ASW_ITW,1417129,0,1,-20
161,TR_3B_ASW_ITW,1419629,0,1,-10
162,TR_3B_ASW_ITW,1422129,0,1,-5
163,TR_3B_ASW_ITW,1424629,0,1,-6
164,TR_3B_ASW_ITW,1427129,0,1,-8
165,TR_3B_ASW_ITW,1429629,0,1,-11
166,TR_3B_ASW_ITW,1432129,0,1,-15
167,TR_3B_ASW_ITW,1434629,0,1,-14
168,TR_3B_ASW_ITW,1437129,0,1,-10
169,TR_3B_ASW_ITW,1439629,0,1,-6
170,TR_3B_ASW_ITW,1442129,0,1,-8
171,TR_3B_ASW_ITW,1444629,0,1,-10
172,TR_3B_ASW_ITW,1447373,0,1,-21
173,TR_3B_ASW_ITW,1449873,0,1,-28
174,TR_3B_ASW_ITW,1452373,0,1,-35
175,TR_3B_ASW_ITW,1454873,0,1,-31
176,TR_3B_ASW_ITW,1457373,0,1,-25
