ID,Name,Basic_Multitrack_Zone_ID_List,Critical,Technical_Room_ID,Give_Take_Isolation_Zone_Characteristics_ID,SPKS_ID,Switch_Normal_ID_List,Switch_Reverse_ID_List,Signal_ID_List,Route_ID_List
1009,GTIZ_NZ_W_11,BMZ_NZ_1_11,Not Critical,TCR_ND_M_8_R,GTIZC_WZ,0,0,0,SI_5_U_ND,R_101_ND_7_ND;R_111_ND_7_ND;R_121_ND_7_ND;R_130_ND_7_ND;R_130_ND_7_ND_C;R_101_ND_7_ND_C;R_111_ND_7_ND_C;R_121_ND_7_ND_C;R_1_CSN_7_ND;R_2_CSN_7_ND;R_1_CSN_7_ND_C;R_2_CSN_7_ND_C
1010,GTIZ_NZ_W_13,BMZ_NZ_1_13,Not Critical,TCR_ND_M_8_R,GTIZC_WZ,0,0,0,SI_9_D_ND,R_7_ND_1_CSN;R_6_ND_1_CSN;R_7_ND_1_CSN_C;R_6_ND_1_CSN_C
1011,GTIZ_NZ_W_10,BMZ_NZ_2_10;BMZ_NZ_2_12,Not Critical,TCR_ND_M_8_R,GTIZC_WZ,0,0,0,SI_8_D_ND;SI_4_U_ND,R_1_CSN_6_ND;R_1_CSN_6_ND_C;R_111_ND_6_ND;R_121_ND_6_ND;R_130_ND_6_ND;R_101_ND_6_ND;R_101_ND_6_ND_C;R_111_ND_6_ND_C;R_121_ND_6_ND_C;R_130_ND_6_ND_C
1012,GTIZ_NZ_W_14,BMZ_NZ_2_14;BMZ_NZ_2_16,Not Critical,TCR_ND_M_8_R,GTIZC_WZ,0,0,0,SI_8_D_ND;SI_8_U_ND,R_1_CSN_6_ND;R_1_CSN_6_ND_C;R_7_ND_2_CSN;R_7_ND_2_CSN_C
1013,GTIZ_NZ_W_21,BMZ_NZ_1_21,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,0,R_9_CSN_1_CSN;R_9_CSN_1_CSN_C;R_8_CSN_1_CSN;R_8_CSN_1_CSN_C;R_7_ND_1_CSN;R_6_ND_1_CSN;R_7_ND_1_CSN_C;R_6_ND_1_CSN_C
1014,GTIZ_NZ_W_23,BMZ_NZ_1_23,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,0,R_9_CSN_1_CSN;R_9_CSN_1_CSN_C;R_9_CSN_2_CSN;R_9_CSN_2_CSN_C;R_1_CSN_5_CSN;R_1_CSN_5_CSN_C;R_2_CSN_5_CSN;R_2_CSN_5_CSN_C
1015,GTIZ_NZ_W_31,BMZ_NZ_1_31,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,SI_7_U_CSN;SI_13_D_CSN,R_100A_CSN_15_CSN;R_100A_CSN_15_CSN_C
1016,GTIZ_NZ_W_41,BMZ_NZ_1_41,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,SI_7_U_CSN,R_19_CSN_15_CSN;R_18_CSN_15_CSN;R_19_CSN_15_CSN_C;R_18_CSN_15_CSN_C;R_100A_CSN_15_CSN;R_100A_CSN_15_CSN_C
1017,GTIZ_NZ_W_43,BMZ_NZ_1_43;BMZ_NZ_1_45,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,SI_17_U_CSN;SI_21_D_CSN,R_18_CSN_15_CSN;R_18_CSN_15_CSN_C;R_14_CSN_1_VZG;R_14_CSN_1_VZG_C
1018,GTIZ_NZ_W_25,BMZ_NZ_3_25,Not Critical,TCR_CSN_M_8_L,GTIZC_WZ,0,0,0,0,R_9_CSN_100A_CSN;R_8_CSN_100A_CSN;R_9_CSN_100A_CSN_C;R_8_CSN_100A_CSN_C
