ID,Name,Safety_Derogation,Overlap_Type,Overlap_MASC,For_CBTC_Train,Response_To_Restrictive_Binary_Delay_BM,ATC_Overlap_Timer,Additional_CBI_Time,D_Overlap,D_Overlap_CBI,Strike_In_Distance,Overlap_Switch_ID_List,Overlap_Release_BM_SDD_ID_List,Berth_Distance,Berth_Route_ID_List
2013,O_SI_133_U_LCM,true,CBI Preferred Normal,true,true,0,82000,117000,2200,3000,602,SW_LCM_377;SW_LCM_379,0,3500,R_190D_LCM_132D_LCM;R_121D_LCM_132D_LCM
2014,O_SI_133_D_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2015,O_SI_135A_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2016,O_SI_140_D_LCM,true,Not Interlocked,true,true,0,82000,117000,2200,0,0,0,0,0,0
2017,O_SI_142A_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2018,O_SI_160_375_D_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2019,O_SI_160_D_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2020,O_SI_151A_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2021,O_SI_162A_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2022,O_SI_112_D_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2024,O_SI_114_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2026,O_SI_164_417_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2027,O_SI_6_D_MDW,true,CBI Critical Normal,true,true,0,82000,117000,2300,6500,807,SW_MDW_433,0,3247,R_2_SVT_8_MDW;R_2_DMZ_8_MDW
2028,O_SI_14_D_MDW,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2029,O_SI_134D_D_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2030,O_SI_153_405_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2031,O_SI_150D_D_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2032,O_SI_152A_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2033,O_SI_151D_D_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2034,O_SI_153_413_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2035,O_SI_161D_D_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2036,O_SI_163A_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2037,O_SI_162D_D_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2038,O_SI_164_415_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2039,O_SI_114_D_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2040,O_SI_164_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2041,O_SI_13_D_MDW,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2042,O_SI_5_D_MDW,true,CBI Preferred Normal,true,true,0,82000,117000,2300,8200,807,SW_MDW_427,0,150,R_1_SVT_7_MDW;R_1_DMZ_7_MDW
2043,O_SI_4_D_GN,true,Not Interlocked,false,true,0,82000,117000,2600,0,0,0,0,0,0
2044,O_SI_7_U_DMZ,true,CBI Critical Normal,true,true,0,82000,117000,2900,5500,766,SW_DMZ_519,0,10163,R_2_DMZ_5_DMZ;R_1_DMZ_5_DMZ
2046,O_SI_11_D_DMZ,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2047,O_SI_12_D_DMZ,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2049,O_SI_14_D_GPP,true,CBI Preferred Normal,true,true,0,82000,117000,2200,6500,807,SW_GPP_569,0,3269,R_20A_GPP_16_GPP;R_120A_GPP_16_GPP;R_130A_GPP_16_GPP;R_13A_GPP_16_GPP;R_100A_GPP_16_GPP;R_110A_GPP_16_GPP
2050,O_SI_19_U_ZD,true,CBI Preferred Normal,true,true,0,82000,117000,2200,3000,1084,SW_ZD_1801B,0,3438,R_7_ZD_17_ZD;R_104D_ZD_17_ZD
2051,O_SI_4_U_ZD,true,CBI Preferred Normal,true,true,0,82000,117000,2600,3000,1084,SW_ZD_1833,0,10762,R_15_OAS_2A_ZD;R_3_OAS_2A_ZD;R_6_OAS_2A_ZD
2052,O_SI_103_U_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2055,O_SI_112_U_ZD,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2056,O_SI_131_D_ZD,true,CBI Preferred Normal,true,true,0,82000,117000,2900,3000,602,SW_ZD_1913,0,3500,R_133A_ZD_132A_ZD
2057,O_SI_133A_U_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2058,O_SI_132E_D_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2059,O_SI_143_1909_U_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2060,O_SI_140_D_ZD,true,CBI Preferred Normal,true,true,0,82000,117000,2900,3000,602,SW_ZD_1913,0,3500,R_142A_ZD_141A_ZD
2061,O_SI_141E_D_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2062,O_SI_142A_U_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2063,O_SI_143_U_ZD,true,Not Interlocked,true,true,0,82000,117000,2900,0,0,0,0,0,0
2064,O_SI_150_D_ZD,true,CBI Preferred Normal,true,true,0,82000,117000,2900,3000,602,SW_ZD_1915;SW_ZD_1917,0,3500,R_152A_ZD_151A_ZD
2065,O_SI_151E_D_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2066,O_SI_152A_U_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2067,O_SI_153_U_ZD,true,Not Interlocked,true,true,0,82000,117000,2900,0,0,0,0,0,0
2068,O_SI_150_1915_D_ZD,true,Not Interlocked,true,true,0,82000,117000,2900,0,0,0,0,0,0
2069,O_SI_160E_D_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2070,O_SI_161A_U_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2071,O_SI_162_U_ZD,true,CBI Preferred Normal,true,true,0,82000,117000,2900,3000,602,SW_ZD_1905;SW_ZD_1907;SW_ZD_1903,0,3500,R_160D_ZD_161D_ZD
2072,O_SI_5_D_ZD,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2073,O_SI_9_1865_U_OAS,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2074,O_SI_1_D_OAS,true,Not Interlocked,false,true,0,82000,117000,2600,0,0,0,0,0,0
2075,O_SI_9_U_OAS,true,Not Interlocked,false,true,0,82000,117000,2600,0,0,0,0,0,0
2076,O_SI_26_315_D_SLW,true,Not Interlocked,true,true,0,82000,117000,2900,0,0,0,0,0,0
2077,O_SI_191_U_LCM,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2091,O_SI_12_U_WPP,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2092,O_SI_13_U_WPP,true,Not Interlocked,false,true,0,82000,117000,2900,0,0,0,0,0,0
2093,O_SI_10_U_SLW,true,Not Interlocked,false,true,0,82000,117000,2200,0,0,0,0,0,0
2094,O_SI_26_U_SLW,true,CBI Preferred Normal,true,true,0,82000,117000,2600,5500,766,SW_SLW_315,0,3100,R_8_SLW_24_SLW;R_100B_SLW_24_SLW
2095,O_SI_17_U_SLW,true,CBI Preferred Normal,true,true,0,82000,117000,2200,7200,766,SW_SLW_317,0,3100,R_100B_SLW_15_SLW;R_3_SLW_15_SLW
2096,O_SI_4A_D_CS,true,Not Interlocked,false,true,0,82000,117000,2300,0,0,0,0,0,0
2097,O_SI_8_U_WPP,true,Not Interlocked,false,true,0,82000,117000,2400,0,0,0,0,0,0
2098,O_SI_14_D_WPP,true,Not Interlocked,true,true,0,82000,117000,2300,0,0,0,0,0,0
