ID,Name,Bumping_Authorized_Speed,Car_ID_List,Active_Extremity_For_Conventional_Direction,Unit_Length,Unit_Min_Length,D_Non_Shunt,Overhang,Detrainment_Doors,EB_Reset_By_Rolling_Stock,Public_Address_Equipment,Passenger_Emergency_Intercom,Train_Wakeup_Delay_Min,Train_Wakeup_Delay_Max,Ct_Wake_Up_Anticipation,Ct_Asleep_Duration,Train_Door_Opening_Latency,Train_Door_Closing_Latency,Train_Door_Status_Detection_Latency,Train_Door_Status_Lateralized,Door_Closing_Warning_Time,Equipped,Distance_Front_Head_Front_Beacon_Antenna,Distance_Rear_Head_Rear_Beacon_Antenna,D_Driver_First_Axle,Distance_Extremity1_Odometer,Distance_Extremity2_Odometer,Unit_Integrity,Redundant,Phonic_Wheel_Coupling_Type,Motoring_Slip_Slide_Coefficient,Braking_Slip_Slide_Coefficient,Error_Loc_Max,Slip_Slide,Calibration_Error,UEVOL_DMI_Equipped,Remote_TWU_Setting_Available
1,TRUC_M5M6,5,CAR_M5M6_TC;CAR_M5M6_M1;CAR_M5M6_M2;CAR_M5M6_M2;CAR_M5M6_M1;CAR_M5M6_TC,Not Polarized,11619,11619,387,387,false,true,true,Video and Audio,0,0,1000,1000,3410,3410,0,false,3000,Dual Equipped,631,631,362,699,699,Internal_Management,true,Braking,15,15,64,15,,true,true
2,TRUC_S1S2,3,CAR_S1S2;CAR_S1S2,Not Polarized,3060,3060,390,390,false,true,true,No Intercomm,0,0,0,0,3410,3410,0,false,3000,Dual Equipped,747,747,0,1435,1435,Internal_Management,true,Braking and Motoring,15,15,64,15,,true,false
3,TRUC_S3M4,3,CAR_S3M4;CAR_S3M4,Not Polarized,3097,3097,361,361,false,true,true,No Intercomm,0,0,0,0,3410,3410,0,false,3000,Dual Equipped,741,741,0,1446,1446,Internal_Management,true,Braking and Motoring,15,15,64,15,,true,false
