ID,Name,SSID,Urbalis_Sector_ID,ATS_Area_ID,IP_Address_Blue,IP_Address_Red,MIB_IP_Address_Blue,MIB_IP_Address_Red,Subnet_Mask_Blue,Subnet_Mask_Red,Gateway_IP_Address_Blue,Gateway_IP_Address_Red
2561,ATS_1,1,US_SCMA,SIA_ATS_1,10.1.13.101,10.2.13.101,10.1.13.101,10.2.13.101,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254
2562,ATS_2,2,US_SCMA,SIA_ATS_2,10.1.13.102,10.2.13.102,10.1.13.102,10.2.13.102,255.255.0.0,255.255.0.0,10.1.31.254,10.2.31.254
