ID,Name,Track_ID,KpValue,KpCorrected_Trolley_Value,SSP_Characteristics_ID,Train_Formation_Characteristics_ID_List,Accuracy_Required,Direction,Secondary_stopping_type,D_Min_Secondary_Piloting,D_Max_Secondary_Piloting
2268,SSP_DMZ_6_D_1,TR_6D_MDW_DMZ,252360,-16,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Down,false,0,0
2269,SSP_DMZ_6_D_2,TR_6D_MDW_DMZ,250811,-40,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Down,false,0,0
2270,SSP_DMZ_6_D_3,TR_6D_MDW_DMZ,249263,-68,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Down,false,0,0
2271,SSP_DMZ_6_D_4,TR_6D_MDW_DMZ,247715,-7,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3;TRFC_S1S2_4;TRFC_S3M4_4,Strategy_1,Down,false,0,0
2272,SSP_VSW_9A_D,TR_5E_DMZ_GPP,783491,0,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Down,false,0,0
2273,SSP_VSW_9A_U_1,TR_5E_DMZ_GPP,786588,-24,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
2274,SSP_VSW_9A_U_2,TR_5E_DMZ_GPP,789685,20,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Up,false,0,0
2275,SSP_VSW_9A_U_3,TR_5E_DMZ_GPP,792781,-5,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Up,false,0,0
2276,SSP_VSW_9A_U_4,TR_5E_DMZ_GPP,795878,-30,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3;TRFC_S1S2_4;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2277,SSP_VSW_10_D,TR_6E_DMZ_GPP,784503,0,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Strategy_1,Down,false,0,0
2278,SSP_VSW_10_U_1,TR_6E_DMZ_GPP,787600,-25,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Up,false,0,0
2279,SSP_VSW_10_U_2,TR_6E_DMZ_GPP,790697,20,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Up,false,0,0
2280,SSP_VSW_10_U_3,TR_6E_DMZ_GPP,793793,-4,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Up,false,0,0
2281,SSP_VSW_10_U_4,TR_6E_DMZ_GPP,796890,-32,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3;TRFC_S1S2_4;TRFC_S3M4_4,Strategy_1,Up,false,0,0
2282,SSP_GZH_1_D_1,TR_5E_DMZ_GPP,856680,6,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1,Strategy_1,Down,false,0,0
2283,SSP_GZH_1_D_2,TR_5E_DMZ_GPP,853583,-1,SSPC_ALL,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S3M4_1;TRFC_S3M4_2,Strategy_1,Down,false,0,0
2284,SSP_GZH_1_D_3,TR_5E_DMZ_GPP,850487,1,SSPC_ALL,TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3,Strategy_1,Down,false,0,0
2285,SSP_GZH_1_D_4,TR_5E_DMZ_GPP,847390,29,SSPC_ALL,TRFC_M5M6;TRFC_S1S2_1;TRFC_S3M4_1;TRFC_S1S2_2;TRFC_S3M4_2;TRFC_S1S2_3;TRFC_S3M4_3;TRFC_S1S2_4;TRFC_S3M4_4,Strategy_1,Down,false,0,0
